gateway,gateway_document_number,gateway_name
WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA
LOGAME BET LOGAME LTDA | 822e76f7-79e4-4a19-b14b-2db73bbc624e,56349116000195,LOGAME BET LOGAME LTDA
BOA LION S.A. | 53837227000152,53837227000152,BOA LION S.A.
STARSPAY EFX FACILITADORA E SERVICOS FINANCEIROS L | 16944045000154,16944045000154,STARSPAY EFX FACILITADORA E SERVICOS FINANCEIROS L
Simples Pay Meios Pagamento LTDA | 8393e6cc-b444-48d7-b98d-4dc442d9fcc6,50788431000132,Simples Pay Meios Pagamento LTDA
Moneta | 36e3c55b-be7b-4216-949d-e9d2f919bfe4,48206461000141,Moneta
Voluti Gestao Financeira Ltda                      | 10f7cffe-2229-4397-b3be-0561949af1f1,30385259000169,Voluti Gestao Financeira Ltda
Hkpay | ff90270b-682c-4170-a648-5c8f0f83a191,37233496000153,Hkpay
DF PARTICIPACOES LTDA | ce7f8b35-0368-483a-8462-5c0f3287dca0,57841833000100,DF PARTICIPACOES LTDA
PAGSMILE INTERMEDIACAO E AGENC DE NEGOC | 23010551000131,23010551000131,PAGSMILE INTERMEDIACAO E AGENC DE NEGOC
Meridian Gaming Brasil spe Ltda | 2ff117f0-ae2c-463f-8643-213b39bfc031,56195600000107,Meridian Gaming Brasil spe Ltda
YE  PAY SERVICOS FINANCEIROS LTDA | e5abaaf8-6ac0-4525-ba0d-d1d7b5ec0012,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
Okto Tech Ltda. | e9996fb4-e4cf-49e8-b68c-29d59c1ea4b0,51583189000123,Okto Tech Ltda.
JG PLAY DIGITAL LTDA | 49726523000109,49726523000109,JG PLAY DIGITAL LTDA
Okto Pagamentos S.A. | 088bc273-4e25-4a79-91b0-0592803393e1,44783669000172,Okto Pagamentos S.A.
P Pagamentos Ltda |,29639420000102,P Pagamentos Ltda
Pay By Steam | b3a22376-64f5-4c6d-9801-c59eadd73b54,13492000000106,Pay By Steam
Bpay Solucoes de Pagamentos Ltda | f314da96-b8b5-4f06-8a43-0ed455c6f2d7,48278458000133,Bpay Solucoes de Pagamentos Ltda
VVM INTERMEDIACAO LTDA | 56877123000160,56877123000160,VVM INTERMEDIACAO LTDA
PAY BROKERS EFX FACILITADORA DE PAGAMENTOS SA | 7bcd0550-ccd6-49fd-99e6-4439c7be97f8,34841787000136,PAY BROKERS EFX FACILITADORA DE PAGAMENTOS SA
Pagsmile Intermediação e Agenciamento de Negocios Ltda | 604d4b6e-c862-4237-829e-770e4bd59b83,23010551000131,Pagsmile Intermediação e Agenciamento de Negocios Ltda
NOAH TIME N.V.   | 22443203000276,22443203000276,NOAH TIME N.V.
V5 PHILIPPINES CORP | 1d05de80-3f74-4018-a002-10a6bc6e0339,26264220000116,V5 PHILIPPINES CORP
GORILLAS GROUP DO BRASIL LTDA | ea12baf5-d2e3-4e5a-a5d2-ed073418b115,37456039000128,GORILLAS GROUP DO BRASIL LTDA
Okto Pagamentos S.A. | 01904156-16cd-469e-8c5e-a4d05059af00,44783669000172,Okto Pagamentos S.A.
recebacom | 44708338000178,44708338000178,recebacom
Be2Bank Ltda |,25009296000132,Be2Bank Ltda
MMD SERVICO DE DESENVOLVIMENTO DE SOFTWARES LTDA | d8348f66-424a-469e-b78a-13ca94cd70d3,34935286000119,MMD SERVICO DE DESENVOLVIMENTO DE SOFTWARES LTDA
BIG BRAZIL TECNOLOGIA E LOTERIA SA | 41590869000110,41590869000110,BIG BRAZIL TECNOLOGIA E LOTERIA SA
Fastcash Pagamentos Digitais S.A | b54a57d8-62e9-4529-b13d-e168b598156d,26051746000118,Fastcash Pagamentos Digitais S.A
in Sete Aceleradora Ldta | 46427105000122,46427105000122,in Sete Aceleradora Ldta
BETBET S TECNOLOGICAS SA | 53274124000121,53274124000121,BETBET S TECNOLOGICAS SA
PAULO R LEMOS E CIA LTDA FILIAL FLORIPA | af5ad62b-6458-47bc-ad65-87b755780bd3,93138451001223,PAULO R LEMOS E CIA LTDA FILIAL FLORIPA
PAY BROKERS EFX FACILITADORA DE PAGAMENTOS SA | 39ddc5b9-85b2-4987-9475-0df85bc6dbb3,34841787000802,PAY BROKERS EFX FACILITADORA DE PAGAMENTOS SA
VIRTUAL SOLUCOES EM TECNOLOGIA LTDA | 7378f95a-80c8-4458-b7de-9acc2334d6fe,46481607000131,VIRTUAL SOLUCOES EM TECNOLOGIA LTDA
Anspace Intermediacao e Agenciamento de Negocios LTDA |,22443203000195,Anspace Intermediacao e Agenciamento de Negocios LTDA
| 49f474c4-a9c6-4753-b3da-a6d56f7b87aa,34841787000217,Pay Brokers Cobrança e Serviço
VOLUTI GESTAO FINANCEIRA - LTDA | ac1fe0fc-bef9-485d-824f-7e9e4248c047,30385259000169,VOLUTI GESTAO FINANCEIRA - LTDA
M C R T3 INVESTIMENTO LTDA | 58321844000114,58321844000114,M C R T3 INVESTIMENTO LTDA
M C R T3 INVESTIMENTO LTDA | c76b40be-9229-4300-b9b5-15ea0ab2d521,58321844000114,M C R T3 INVESTIMENTO LTDA
BLISS PAGAMENTOS LTDA | 4ac8ec32-6d17-4261-aae7-e2f3eea90dc7,31172740000139,BLISS PAGAMENTOS LTDA
JPS Intermediacoes e Servicos Financeiros LTDA | 1e773642-4f67-4117-8ee9-a220998b2952,47726411000122,JPS Intermediacoes e Servicos Financeiros LTDA
PC Serviços Empresariais Web Ltda | ca5e6d15-7c5d-4a85-9718-4aaa876e462a,51688853000107,PC Serviços Empresariais Web Ltda
Servicos e Intermediacoes Paag Ltda | ca1978d3-f9c3-465e-9e90-2d7050518c05,41388405000126,Servicos e Intermediacoes Paag Ltda
MOUR TECNOLOGIA LTDA | 92c39b1d-7431-44c8-9ebd-a477345801f1,57638309000129,MOUR TECNOLOGIA LTDA
HK CASH LOGAME LTDA | 56349116000195,56349116000195,HK CASH LOGAME LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 5b7afacc-3a81-4e09-8554-93409d1a3a5c,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
BYTECH LTDA | 31823471000123,31823471000123,BYTECH LTDA
ALL BETS | 03d6ddcb-fce3-40de-8865-4e1e70603bac,93138451000170,ALL BETS
BLISS PAGAMENTOS LTDA | 13c91e75-11e1-4785-84d5-a10f630e9e70,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 17d8fe99-e82f-4223-823c-07b02a9a5aa7,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 6ba00f1a-615c-4af0-a0d3-975c187ba714,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 829c2528-89ff-4e79-9bfe-32238ea2d1fa,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | a60bdd4a-3838-4cbd-969f-c9a36b1e7084,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | aa16df7c-e53e-4aae-9552-ce2281ce843e,31172740000139,BLISS PAGAMENTOS LTDA
F7 JOGOS LTDA | e9e78766-22e3-48ff-b9f8-4877067abcce,57972577000182,F7 JOGOS LTDA
ZRO IP  APOSTA GANHA | 40d330ff-7bbb-4fc0-9383-563913ce68e5,26264220000116,ZRO IP  APOSTA GANHA
FORTUNA PAY CONSULTORIA FINANCEIRA LTDA | a2ba8d67-194d-4bc8-a2f7-9ef103b02bc3,53731130000160,FORTUNA PAY CONSULTORIA FINANCEIRA LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 34891d38-57ec-4bd2-b340-4f908a8395e3,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
YAPAY PAGAMENTOS ONLINE LTDA | b46d61bb-517e-4525-a722-df5adc613305,14338304000178,YAPAY PAGAMENTOS ONLINE LTDA
ALL BETS | ba294385-af73-4f1a-94d3-25dd15c1a6a2,93138451000170,ALL BETS
ARKPAGO LTDA | 298b5de8-e5ff-4c1d-a3d3-ca3e92356702,35832973000171,ARKPAGO LTDA
confipay intermediacao de negocios | 18c0fc54-2c97-4281-a603-1313150e8cfe,51094796000120,confipay intermediacao de negocios
ADX PAYMENT | dccb1680-a21d-46a1-84a6-f15bae6888b2,53186737000107,ADX PAYMENT
MONTE TRANSFER | 5dbc6dc3-b94a-41c8-9017-ed88233db7c8,48206461000141,MONTE TRANSFER
PAY RETAILERS BR SERVIÇOS DE PAGAMENTOS LTDA | a3cf890d-c2ee-42f2-a12e-5a0203296d88,32364718000153,PAY RETAILERS BR SERVIÇOS DE PAGAMENTOS LTDA
Happy Pago LTDA | 55328878000142,55328878000142,Happy Pago LTDA
SAFE WAY GESTAO DE RECURSOS FINANCEIROS LTDA | e6829b83-80c3-4f25-acab-3c625ef65d45,40033405000140,SAFE WAY GESTAO DE RECURSOS FINANCEIROS LTDA
ZAMO PAGO LTDA | 10347d85-3974-4e4b-a100-5e99f3729f18,55863405000145,ZAMO PAGO LTDA
VOLUTI GESTAO FINANCEIRA - LTDA | 58f5c61a-d9fe-4fed-bd21-48867cc94202,30385259000169,VOLUTI GESTAO FINANCEIRA - LTDA
ANSPACE INSTITUICAO DE PAGAMENTO LTDA FILIAL | 04f08934-2a23-47b8-8e59-847d770dda7d,22443203000276,ANSPACE INSTITUICAO DE PAGAMENTO LTDA FILIAL
FORTUNE PAY PIX | 53387663000177,53387663000177,FORTUNE PAY PIX
JIANGANG FENG TECNOLOGIA E INTERMEDIACOES | 44464384000179,44464384000179,JIANGANG FENG TECNOLOGIA E INTERMEDIACOES
SECURELINK CONSULTORIA FINANCEIRA LTDA | 53733396000142,53733396000142,SECURELINK CONSULTORIA FINANCEIRA LTDA
BIGBANG INSTITUICAO DE PAGAMENTO LTDA | b6a67075-491a-45dd-a516-22b47780675f,35795575000122,BIGBANG INSTITUICAO DE PAGAMENTO LTDA
DZELTENS TRANSFER GAMES PARTICIPACOES SOCIETARIAS LTDA | 61af39d8-42eb-42b2-aff1-2183dfe52b9c,49462916000152,DZELTENS TRANSFER GAMES PARTICIPACOES SOCIETARIAS LTDA
Golden Cat Processamento de Pagamento Ltda | 52348833000141,52348833000141,Golden Cat Processamento de Pagamento Ltda
PAY BROKERS | 696a0d82-a4f5-4637-a00a-e1ae37e0686e,34841787000136,PAY BROKERS
Be2 Bank LTDA | 3a20c8f0-5b4b-47a7-b576-9250415803bb,25009296000132,Be2 Bank LTDA
PAY2M SOLUCOES FINANCEIRAS LTDA | 4ad551ef-7c08-423e-ae77-49ed35731adb,50226014000104,PAY2M SOLUCOES FINANCEIRAS LTDA
OPP SERVICOS FINANCEIROS E COB | 8d1c3c68-468e-4ee0-88b0-bda492c1dab6,16944045000154,OPP SERVICOS FINANCEIROS E COB
ALL BETS | c767e172-ffab-4222-aead-00aadc3d422d,93138451001223,ALL BETS
BLISS PAGAMENTOS LTDA | f2d88323-4f04-460c-a076-c1d6eab6420e,31172740000139,BLISS PAGAMENTOS LTDA
VOLUTI GESTAO FINANCEIRA - LTDA | 5a7f8296-0912-4780-8d6b-e218e9e50cbd,30385259000169,VOLUTI GESTAO FINANCEIRA - LTDA
SAFEPAG PAGAMENTOS SA | 9d3dccee-bbe3-432a-b189-876c5c73621f,31944425000182,SAFEPAG PAGAMENTOS SA
PRIORITYPAY PAGAMENTOS DIGITAIS LTDA | bed4e6ed-7602-4bfc-afe4-d42d1ac554fa,48229336000157,PRIORITYPAY PAGAMENTOS DIGITAIS LTDA
ALL BETS | 7bf4dd22-6e34-45ac-98ae-a372a264c9eb,93138451000170,ALL BETS
ALL BETS | 3686aedf-24ff-4ef8-9291-4b6a607e8a4c,93138451001223,ALL BETS
BLISS PAGAMENTOS LTDA | a899d3b7-cbcb-4f5d-8f86-e7f30be3ec88,31172740000139,BLISS PAGAMENTOS LTDA
POWERFULL TECNOLOGIA LTDA | a6c7711a-0263-434d-9131-0c53044f1bd3,49440778000100,POWERFULL TECNOLOGIA LTDA
BLISS PAGAMENTOS LTDA | 6bd46258-807f-4009-9282-5c3adfb2c099,31172740000139,BLISS PAGAMENTOS LTDA
BETESPORTE APOSTAS ON LINE LTDA | edfe82e7-deca-4517-b78b-aea6b87692f0,56295104000125,BETESPORTE APOSTAS ON LINE LTDA
Fast Gaming  | 42c3402c-2f73-4c0e-970b-05da06c6d966,55980542000160,Fast Gaming
SIMPLES PAY MEIOS PAGAMENTO LTDA | 50788431000132,50788431000132,SIMPLES PAY MEIOS PAGAMENTO LTDA
SUPREMA BET LTDA | 56183358000151,56183358000151,SUPREMA BET LTDA
F7 JOGOS LTDA | a07082cf-96b6-4ffb-bfac-b4b78419848a,57972577000182,F7 JOGOS LTDA
H2 LICENSED LTDA | 56303755000110,56303755000110,H2 LICENSED LTDA
FAST GAMING S.A. | a58d5e1c-a957-4f1e-b8bc-764093253672,55980542000160,FAST GAMING S.A.
HIPER BET TECNOLOGIA LTDA | 24573929-df8b-4555-9e41-54d0992c3a53,55404799000173,HIPER BET TECNOLOGIA LTDA
Okto Pagamentos S.A. | 811ba820-82f9-4f24-bd99-78a68b03a82a,44783669000172,Okto Pagamentos S.A.
BPAY SOLUCOES DE PAGAMENTOS | 192c8320-d3ba-448e-ac17-2367ee34e084,48278458000133,BPAY SOLUCOES DE PAGAMENTOS
HKPPAY PAGAMENTOS E COBRANCAS LTDA | bf6dd89e-770c-4c3e-8e77-5f2b9516ecde,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
ALL BETS | 0af12f88-8525-4cfe-b426-32309bec0272,93138451001223,ALL BETS
POWERFULL TECNOLOGIA LTDA | e08dcabd-90eb-45f1-9dce-1d8cb05fa5db,49440778000100,POWERFULL TECNOLOGIA LTDA
Okto Tech Ltda. | 37abaf3d-b7d5-4ac6-8f22-c4cb8d323901,51583189000123,Okto Tech Ltda.
HKPPAY PAGAMENTOS E COBRANCAS LTDA | aaafa1d6-ba1e-4eee-8dfe-bbe4312ae455,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
GORILLAS GROUP DO BRASIL LTDA | 50fd98bd-b971-4efb-9b41-534b8346a9b7,37456039000128,GORILLAS GROUP DO BRASIL LTDA
ANSPACE INSTITUICAO DE PAGAMENTO LTDA | 22443203000276,22443203000276,ANSPACE INSTITUICAO DE PAGAMENTO LTDA
HKP PAY | 9d27220a-42c9-4823-a560-520c586107cd,52648605000197,HKP PAY
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 0de118ea-08e6-449b-9a16-8195f12d01e6,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
Sky Fintech | 52201341000129,52201341000129,Sky Fintech
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | fb3d4aa1-96cd-4b9c-a21b-08b894ff19ca,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
Safepag Pagamentos Sa | d9042a9b-9572-4f35-92e2-61478cd2f47d,31944425000182,Safepag Pagamentos Sa
OKP Galaktika | e8add569-3408-4ebc-bfdf-8bf646279283,35210410000141,OKP Galaktika
EA ENTRETENIMENTO E ESPORTES LTDA | 53570592000143,53570592000143,EA ENTRETENIMENTO E ESPORTES LTDA
SUITPAY INSTITUICAO DE PAGAMENTO LTDA | 6262ceb7-c17e-4ccf-babd-df289cc52f21,38333425000195,SUITPAY INSTITUICAO DE PAGAMENTO LTDA
HKPAY_1 | 48206461000141,48206461000141,HKPAY_1
Alfa Entretenimento SA | dba791e5-37b9-466a-b57a-62b5153802a4,55359927000104,Alfa Entretenimento SA
Starpayment Instituição de Pagamento Ltda. | ba645eee-66eb-4847-a356-4cbdfc7c4b03,53498620000169,Starpayment Instituição de Pagamento Ltda.
Bliss Pagamentos | f4844f0a-b33c-49d8-a53c-12f23822147f,31172740000139,Bliss Pagamentos
BLISS PAGAMENTOS LTDA | f106e2ea-f31a-44ec-bf38-836f5d4b493d,31172740000139,BLISS PAGAMENTOS LTDA
PIX STAR BRASILIAN NV | 22443203000276,22443203000276,PIX STAR BRASILIAN NV
PIXBET - BET DA SORTE | 40633348000130,40633348000130,PIXBET - BET DA SORTE
JUST PAGAMENTOS LTDA | 8dd8d353-be32-4ce2-bdad-52e1c973319f,34882109000111,JUST PAGAMENTOS LTDA
G2E GAMES N.V. | 22443203000195,22443203000195,G2E GAMES N.V.
okto tech ltda. | 5aa42876-5f57-4ecb-be77-083fd2b92090,51583189000123,okto tech ltda.
CASH FOR PAY LTDA | 97dc0e5a-0c90-46c5-8772-cbb29a61c519,50901312000144,CASH FOR PAY LTDA
SABIA ADMINISTRACAO LTDA | 04426418000116,4426418000116,SABIA ADMINISTRACAO LTDA
PAY BROKERS EFX FACILITADORA DE PAGAMENTOS S.A. | 9fb379d5-04f2-4d1d-a2d1-9065d932fb02,34841787000136,PAY BROKERS EFX FACILITADORA DE PAGAMENTOS S.A.
Pay Brokers S.A | 8a04b5c2-143c-42cd-be47-6d06cbfa6c6a,34841787000136,Pay Brokers S.A
Golden cat processamento de pagamento ltda | 52348833000141,52348833000141,Golden cat processamento de pagamento ltda
P PAGAMENTOS LTDA | 78c9024d-9542-41df-8701-7f9b65dcedf1,29639420000102,P PAGAMENTOS LTDA
Brapay Negócio é participação LTDA | f237ed75-a932-4597-9f51-6c9d2188c73c,49138107000190,Brapay Negócio é participação LTDA
Betesporte Apostas On Line LTDA | 56295104000125,56295104000125,Betesporte Apostas On Line LTDA
SUITPAY INSTITUIÇÃO DE PAGAMENTOS LTDA | d8331fcd-40f9-48e8-8c8e-42c863abe6f1,38333425000195,SUITPAY INSTITUIÇÃO DE PAGAMENTOS LTDA
Okto Tech Ltda. | d18b5e23-dda3-4087-8a58-2fcd202da515,51583189000123,Okto Tech Ltda.
BELL VENTURES DIGITAL LTDA | 56638458000125,56638458000125,BELL VENTURES DIGITAL LTDA
Starspay Efx Facilitadora e Servicos Financeiros LTDA | fc197f04-9f13-439f-a5c5-2c43493ec092,16944045000154,Starspay Efx Facilitadora e Servicos Financeiros LTDA
PAYMENT SOLUCOES E NEGOCIOS LTDA | 56910105000132,56910105000132,PAYMENT SOLUCOES E NEGOCIOS LTDA
PIXBET SOLUÇÕES TECNOLOGICAS LTDA | 40633348000130,40633348000130,PIXBET SOLUÇÕES TECNOLOGICAS LTDA
PARIMATCH - INSAILER  HOLDINGS LTD | 22443203000276,22443203000276,PARIMATCH - INSAILER  HOLDINGS LTD
JUST PAGAMENTOS LTDA | f415daf9-13a2-4f39-bd53-1c53c95ba8b1,34882109000111,JUST PAGAMENTOS LTDA
PINHENHON INTERMEDIACOES DE PAGAMENTOS E SERVICOS LTDA | 8062e362-a9e0-4b22-bfa2-9dee471df30c,44341088000180,PINHENHON INTERMEDIACOES DE PAGAMENTOS E SERVICOS LTDA
ALL BETS | 55ec3f2b-a015-40fa-8ff1-f57e712bdb58,93138451000170,ALL BETS
APOSTA GANHA LOTERIAS LTDA | 48ed0b11-b1d1-4c9c-8508-515ba8e45eaa,56001749000108,APOSTA GANHA LOTERIAS LTDA
okto tech ltda. | b2ae2c19-7ce7-41ab-92d5-1fbae0bee14d,51583189000123,okto tech ltda.
YE  PAY SERVICOS FINANCEIROS LTDA | 89b02070-7a4b-425d-a231-ae8268c5a6b8,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
OKTO TECH LTDA | ebf7c0e7-8d24-4e89-852e-5404259c2493,51583189000123,OKTO TECH LTDA
PAGSMILE INTERMEDIACAO E AGENCIAMENTO DE NEGOCIOS LTDA | pixcaixa@pagsmile.com,23010551000131,PAGSMILE INTERMEDIACAO E AGENCIAMENTO DE NEGOCIOS LTDA
LIDERBET | 56349116000195,56349116000195,LIDERBET
Okto Tech Ltda. | 178de3b9-a663-4051-a5f4-e80003874262,51583189000123,Okto Tech Ltda.
Okto Pagamentos S.A. | e9861f36-a47a-45d4-a780-375c79c0be4d,44783669000172,Okto Pagamentos S.A.
OKP The Place Glayshir | dc9954ec-749c-4933-830f-caaee5a1fa06,35210410000141,OKP The Place Glayshir
Fast Gaming  | d5316fe7-fd66-4d7d-955f-6f89046eee4c,55980542000160,Fast Gaming
SUPREMA BET LTDA | 359d3e83-3805-45f7-a26a-8027d609214f,56183358000151,SUPREMA BET LTDA
BETVIP A ESPORTIVAS S.A. | 56025515000109,56025515000109,BETVIP A ESPORTIVAS S.A.
YE  PAY SERVICOS FINANCEIROS LTDA | b12c3e8d-38d1-40af-ae5f-be916f309e6d,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
VCOIN TECNOLOGIA E INVESTIMENTOS LTDA | f5827769-5232-4166-923f-015cc85726df,57370992000166,VCOIN TECNOLOGIA E INVESTIMENTOS LTDA
YE  PAY SERVICOS FINANCEIROS LTDA | 657e678d-79c7-43fe-85b3-36fd4db56c4b,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
BETBR LOTERIAS LTDA | 8430ac51-135f-4c5f-8ecb-2d31c6b2e2c4,55881028000177,BETBR LOTERIAS LTDA
APOSTATUDO.BET - SUPERBET88 INTERNATIONAL N.V. | 22443203000276,22443203000276,APOSTATUDO.BET - SUPERBET88 INTERNATIONAL N.V.
logflix.arenadasortebet | 56349116000195,56349116000195,logflix.arenadasortebet
VACANO | 64f00d2e-5edb-44eb-ac79-556b5053cb0c,39268650000158,VACANO
YE  PAY SERVICOS FINANCEIROS LTDA | ea205470-e1aa-4486-b2c8-261f0aece217,57020169000120,YE  PAY SERVICOS FINANCEIROS LTDA
PAULO R LEMOS E CIA LTDA FILIAL FLORIPA | b8f6f2bd-0f0d-46ae-a6d8-564fd3795403,93138451001223,PAULO R LEMOS E CIA LTDA FILIAL FLORIPA
JUST PAGAMENTOS LTDA | feb529b8-718b-41ec-aa79-7b4f47b6f634,34882109000111,JUST PAGAMENTOS LTDA
OKP HIPER DUTY FREE | 0c1a30ef-5ba8-445d-9e43-ea602fdece9d,35210410000141,OKP HIPER DUTY FREE
Bet da Virada - SUPERSTARS ENTERTAINMENT B.V. | 22443203000276,22443203000276,Bet da Virada - SUPERSTARS ENTERTAINMENT B.V.
LOCALPAY DO BRASIL | 6d52b241-6bd3-488d-b53d-43fc2926a90c,32364718000153,LOCALPAY DO BRASIL
OKP THE PLACE | e603cc6c-2295-40ed-8f6d-700c5e6c0099,35210410000141,OKP THE PLACE
SIMPLES GAMES DIVERSOES E ENTRETENIMENTO LTDA | d5090073-33be-4a79-b4b4-ba4cbed57898,50788431000132,SIMPLES GAMES DIVERSOES E ENTRETENIMENTO LTDA
BRASFICHAS | 22443203000276,22443203000276,BRASFICHAS
CLEARPLAY SOLUCOES EM PAGAMENTOS LTDA | +5511960691717,53784317000122,CLEARPLAY SOLUCOES EM PAGAMENTOS LTDA
Moneta Transfer LTDA | 6baac831-da06-45b1-9339-ea1d213001e1,48206461000141,Moneta Transfer LTDA
Sortenabet Gaming Brasil SA | 54989030000100,54989030000100,Sortenabet Gaming Brasil SA
okto tech ltda. | ee69c259-582c-47e0-96d3-aad99b89f183,51583189000123,okto tech ltda.
ALL BETS | 3ed94b91-845e-4009-8084-00d8dee915b2,93138451000170,ALL BETS
WUDI PAY CORRESPONDENTE DE INSTITUIÇÃO FINANCEIRA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUIÇÃO FINANCEIRA
Ako Pago Ltda                                      | f2d0ffcd-9e98-4d52-8d5d-ee5dd19003bf,55886539000181,Ako Pago Ltda
OIG GAMING BRAZIL LTDA | 660a8384-2130-4976-9876-06ca88320ecb,55459453000172,OIG GAMING BRAZIL LTDA
ALL BETS | 427577d9-2ffd-4e23-a0e6-e3140dd6b88d,93138451000170,ALL BETS
PAGSMILE INTERMEDIAÇÃO E AGENCIAMENTO DE NEGOCIOS | 022de801-559d-46bd-b85d-31eb44b5b424,23010551000131,PAGSMILE INTERMEDIAÇÃO E AGENCIAMENTO DE NEGOCIOS
SOFFTPAY FINANCAS LTDA | 56906952000123,56906952000123,SOFFTPAY FINANCAS LTDA
5GBET APOSTAS LTDA | f60c0e6b-c415-4251-a424-0de0657b0229,58076990000121,5GBET APOSTAS LTDA
BLISS PAGAMENTOS LTDA | 49c5e56a-60ef-4aa6-b347-a71468d94eef,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 785d5414-f320-4de1-b618-40e64b5b2116,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | b36fc94e-1be0-4b1a-90cb-b1f09404b219,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | dec967a4-5d07-43e1-a6bc-b37f070d60e2,31172740000139,BLISS PAGAMENTOS LTDA
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | 8f2a7623-2ffb-4e2f-90f6-8b1909508300,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
RMT Invest e Tecnologia LTDA | a1c0aa63-38c2-4a7b-8ae2-6407ead5c9a8,57370980000131,RMT Invest e Tecnologia LTDA
VIRTUAL SOLUCOES EM TECNOLOGIA LTDA SCP | 7939311e-4d1c-4f31-b2c0-f8b0406c55e8,51977226000188,VIRTUAL SOLUCOES EM TECNOLOGIA LTDA SCP
LCT PAGAMENTOS E SERVICOS LTDA | 81be1f18-29f0-43a3-9a3f-d5b4d2e83980,31023573000164,LCT PAGAMENTOS E SERVICOS LTDA
ROCKET PAGO LTDA | 57252890000146,57252890000146,ROCKET PAGO LTDA
Sortenabet Gaming Brasil S.A | 8e38dd9f-0a45-4877-a429-e2905deefb11,54989030000100,Sortenabet Gaming Brasil S.A
BETBR LOTERIAS LTDA | 19bc5647-5aed-489b-a480-aacd911c713a,55881028000177,BETBR LOTERIAS LTDA
BLOW MARKETPLACE LTDA | 37486405000191,37486405000191,BLOW MARKETPLACE LTDA
ALL BETS | f1f2561d-26ec-471b-ad4e-28d75621dc12,93138451001223,ALL BETS
RR PARTICIPACOES E INTERMEDIACOES DE NEGOCIOS SA - MULTIBET | 23159703000162,23159703000162,RR PARTICIPACOES E INTERMEDIACOES DE NEGOCIOS SA - MULTIBET
F7 JOGOS LTDA | 3d248f55-e02c-4b16-811d-bff44510c551,57972577000182,F7 JOGOS LTDA
FAST GAMING S A | 10d85f08-6cce-4309-97ff-48fd34710fb1,55980542000160,FAST GAMING S A
WWW PAGO LTDA | 13e1b1c9-f27a-465f-b8ff-79441a153526,54377555000186,WWW PAGO LTDA
ZELU BRASIL FACILITADORA DE PAGAMENTOS LTDA | 2ef76d55-785a-440b-8d56-2cbeba5c95aa,44785809000141,ZELU BRASIL FACILITADORA DE PAGAMENTOS LTDA
Ana Gaming Brasil SA | 042dfd01-d41f-42ab-a1a9-45d2433be9c3,55933850000134,Ana Gaming Brasil SA
ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTO SA | dc56597d-5cb5-49ac-af24-f65555be73d9,35210410000141,ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTO SA
Okto Pagamentos S.A. | 1ee03984-9f62-4dec-baf8-d8e3af162630,44783669000172,Okto Pagamentos S.A.
Be2Bank Ltda | f05bda05-578f-4990-b3ce-4a7e161db282,25009296000132,Be2Bank Ltda
BAZK | 31944425000182,31944425000182,BAZK
ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTOS AS | 35210410000141,35210410000141,ONEKEY PAYMENTS INSTITUICAO DE PAGAMENTOS AS
SAFEPAG PAGAMENTOS SA | 633893d8-5d59-4644-bed7-5d6771044a50,31944425000182,SAFEPAG PAGAMENTOS SA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | bee2a942-04fe-4cbc-a126-4a14cd061e97,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
